# Created: 2026-03-06 16:30
날짜,상품명,단가,수량,매출액,결제방법
2026-01-03,사과,1500,10,15000,카드
2026-01-05,바나나,800,25,20000,현금
2026-01-07,딸기,4500,8,36000,카드
2026-01-09,포도,3200,12,38400,카드
2026-01-11,수박,12000,3,36000,현금
2026-01-13,오렌지,1200,20,24000,카드
2026-01-15,복숭아,2500,15,37500,카드
2026-01-17,망고,3500,9,31500,현금
2026-01-19,블루베리,5000,6,30000,카드
2026-01-21,키위,1000,30,30000,카드
2026-01-23,참외,2000,18,36000,현금
2026-01-25,자두,1800,14,25200,카드
2026-01-27,배,2200,11,24200,카드
2026-01-29,감,1600,22,35200,현금
2026-02-01,레몬,700,40,28000,카드
2026-02-04,파인애플,4000,7,28000,카드
2026-02-06,체리,6000,5,30000,현금
2026-02-08,샤인머스켓,8000,4,32000,카드
2026-02-10,멜론,9000,3,27000,카드
2026-02-12,석류,3000,10,30000,현금
2026-02-14,무화과,4500,6,27000,카드
2026-02-16,리치,2800,13,36400,카드
2026-02-18,패션후르츠,3200,9,28800,현금
2026-02-20,용과,5500,5,27500,카드
2026-02-22,두리안,15000,2,30000,현금
2026-02-24,람부탄,2000,16,32000,카드
2026-02-26,구아바,2500,12,30000,카드
2026-02-28,아보카도,2000,15,30000,카드
2026-03-02,살구,1700,18,30600,현금
2026-03-04,자몽,1500,20,30000,카드
